,ds,y
0,2023-04-05,185.5200042724609
1,2023-04-06,185.05999755859372
2,2023-04-10,184.50999450683597
3,2023-04-11,186.7899932861328
4,2023-04-12,180.5399932861328
5,2023-04-13,185.8999938964844
6,2023-04-14,185.0
7,2023-04-17,187.0399932861328
8,2023-04-18,184.30999755859372
9,2023-04-19,180.58999633789065
10,2023-04-20,162.99000549316406
11,2023-04-21,165.0800018310547
12,2023-04-24,162.5500030517578
13,2023-04-25,160.6699981689453
14,2023-04-26,153.75
15,2023-04-27,160.19000244140625
16,2023-04-28,164.30999755859375
17,2023-05-01,161.8300018310547
18,2023-05-02,160.30999755859375
19,2023-05-03,160.61000061035156
20,2023-05-04,161.1999969482422
21,2023-05-05,170.05999755859375
22,2023-05-08,171.7899932861328
23,2023-05-09,169.14999389648438
24,2023-05-10,168.5399932861328
25,2023-05-11,172.0800018310547
26,2023-05-12,167.97999572753906
27,2023-05-15,166.35000610351562
28,2023-05-16,166.52000427246094
29,2023-05-17,173.86000061035156
30,2023-05-18,176.88999938964844
31,2023-05-19,180.13999938964844
32,2023-05-22,188.8699951171875
33,2023-05-23,185.7700042724609
34,2023-05-24,182.8999938964844
35,2023-05-25,184.47000122070312
36,2023-05-26,193.1699981689453
37,2023-05-30,201.16000366210935
38,2023-05-31,203.92999267578125
39,2023-06-01,207.5200042724609
40,2023-06-02,213.97000122070312
41,2023-06-05,217.6100006103516
42,2023-06-06,221.30999755859372
43,2023-06-07,224.57000732421875
44,2023-06-08,234.8600006103516
45,2023-06-09,244.3999938964844
46,2023-06-12,249.8300018310547
47,2023-06-13,258.7099914550781
48,2023-06-14,256.7900085449219
49,2023-06-15,255.8999938964844
50,2023-06-16,260.5400085449219
51,2023-06-20,274.45001220703125
52,2023-06-21,259.4599914550781
53,2023-06-22,264.6099853515625
54,2023-06-23,256.6000061035156
55,2023-06-26,241.0500030517578
56,2023-06-27,250.2100067138672
57,2023-06-28,256.239990234375
58,2023-06-29,257.5
59,2023-06-30,261.7699890136719
60,2023-07-03,279.82000732421875
61,2023-07-05,282.4800109863281
62,2023-07-06,276.5400085449219
63,2023-07-07,274.42999267578125
64,2023-07-10,269.6099853515625
65,2023-07-11,269.7900085449219
66,2023-07-12,271.989990234375
67,2023-07-13,277.8999938964844
68,2023-07-14,281.3800048828125
69,2023-07-17,290.3800048828125
70,2023-07-18,293.3399963378906
71,2023-07-19,291.260009765625
72,2023-07-20,262.8999938964844
73,2023-07-21,260.0199890136719
74,2023-07-24,269.0599975585937
75,2023-07-25,265.2799987792969
76,2023-07-26,264.3500061035156
77,2023-07-27,255.7100067138672
78,2023-07-28,266.44000244140625
79,2023-07-31,267.42999267578125
80,2023-08-01,261.07000732421875
81,2023-08-02,254.1100006103516
82,2023-08-03,259.32000732421875
83,2023-08-04,253.8600006103516
84,2023-08-07,251.4499969482422
85,2023-08-08,249.6999969482422
86,2023-08-09,242.19000244140625
87,2023-08-10,245.33999633789065
88,2023-08-11,242.6499938964844
89,2023-08-14,239.75999450683597
90,2023-08-15,232.9600067138672
91,2023-08-16,225.6000061035156
92,2023-08-17,219.22000122070312
93,2023-08-18,215.4900054931641
94,2023-08-21,231.27999877929688
95,2023-08-22,233.19000244140625
96,2023-08-23,236.8600006103516
97,2023-08-24,230.0399932861328
98,2023-08-25,238.58999633789065
99,2023-08-28,238.82000732421875
100,2023-08-29,257.17999267578125
101,2023-08-30,256.8999938964844
102,2023-08-31,258.0799865722656
103,2023-09-01,245.00999450683597
104,2023-09-05,256.489990234375
105,2023-09-06,251.9199981689453
106,2023-09-07,251.4900054931641
107,2023-09-08,248.5
108,2023-09-11,273.5799865722656
109,2023-09-12,267.4800109863281
110,2023-09-13,271.29998779296875
111,2023-09-14,276.0400085449219
112,2023-09-15,274.3900146484375
113,2023-09-18,265.2799987792969
114,2023-09-19,266.5
115,2023-09-20,262.5899963378906
116,2023-09-21,255.6999969482422
117,2023-09-22,244.8800048828125
118,2023-09-25,246.9900054931641
119,2023-09-26,244.1199951171875
120,2023-09-27,240.5
121,2023-09-28,246.3800048828125
122,2023-09-29,250.22000122070312
